id,problem,solution,answer,difficulty,topic,difficulty_score,source_dataset
deepmath_4.5_0,"Determine whether the following statement is true or false: If you run at a constant pace along any closed path, starting and ending at the same spot, and the sun is assumed to be stationary, you will receive the same amount of sunlight on the front and back of your body.","Topic: Mathematics -> Applied Mathematics -> Other, Difficulty: 4.5",True,4.5,Mathematics -> Applied Mathematics -> Other,4.5,deepmath
deepmath_4.5_1,Find the Maclaurin series expansion of \( y = \frac{1+x^2+x^4}{1-x^2+x^4} \) up to the term in \( x^6 \).,"Topic: Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives, Difficulty: 4.5",1 + 2x^2 + 2x^4,4.5,Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives,4.5,deepmath
deepmath_4.5_2,"Determine the number of complex numbers \( z \) that satisfy the equation \( |z| = \max\{|z-1|, |z+1|\} \).","Topic: Mathematics -> Algebra -> Intermediate Algebra -> Complex Numbers, Difficulty: 4.5",0,4.5,Mathematics -> Algebra -> Intermediate Algebra -> Complex Numbers,4.5,deepmath
deepmath_4.5_3,"Let $\alpha$, $\beta$, and $\gamma$ be the roots of the equation $2x^3 + 4x^2 + 3x - 1 = 0$. Calculate the value of $\frac{1}{\alpha^2 \beta^2} + \frac{1}{\beta^2 \gamma^2} + \frac{1}{\alpha^2 \gamma^2}$.","Topic: Mathematics -> Algebra -> Algebra -> Polynomial Operations, Difficulty: 4.5",4,4.5,Mathematics -> Algebra -> Algebra -> Polynomial Operations,4.5,deepmath
deepmath_4.5_4,"Find the derivative of the function \( \phi(t) = \int_0^1 e^{\sqrt{x^2 + t^2}} \, \mathrm{d}x \) at \( t = 0 \).","Topic: Mathematics -> Calculus -> Differential Calculus -> Derivatives, Difficulty: 4.5",0,4.5,Mathematics -> Calculus -> Differential Calculus -> Derivatives,4.5,deepmath
deepmath_4.5_5,"Determine the structure of the quotient group $S_n/S_{n-1}$, where $S_{n-1}$ is the subgroup of $S_n$ consisting of permutations that fix the element $n$. Specifically, identify the group structure of $S_3/S_2$.","Topic: Mathematics -> Algebra -> Abstract Algebra -> Group Theory, Difficulty: 4.5",\mathbb{Z}_3,4.5,Mathematics -> Algebra -> Abstract Algebra -> Group Theory,4.5,deepmath
deepmath_4.5_6,"Given that the random variable $X$ follows a uniform distribution on the interval $(0,1)$, $X\sim\text{Unif}(0,1)$, and the conditional distribution of $Y$ given $X$ is a binomial distribution with parameters $n$ and $p = x$, $Y\mid X = x\sim\text{Binom}(n, p = x)$, compute the expected value of $Y$, denoted as $E[Y]$. \( \boxed{} \)","Topic: Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other, Difficulty: 4.5",\dfrac{n}{2},4.5,Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other,4.5,deepmath
deepmath_4.5_7,"Given a natural number $n = 2016^{155}$, repeatedly subtract the largest divisor of $n$ (other than $n$ itself) until you reach 1. How many steps are required to reach 1?","Topic: Mathematics -> Number Theory -> Factorization, Difficulty: 4.5",2015,4.5,Mathematics -> Number Theory -> Factorization,4.5,deepmath
deepmath_4.5_8,"Determine the maximum value of the function \( B = \sqrt{|x+y|} + \sqrt{|y+z|} + \sqrt{|z+x|} \) where \( x, y, z \in [-1, 1] \).","Topic: Mathematics -> Algebra -> Intermediate Algebra -> Other, Difficulty: 4.5",3\sqrt{2},4.5,Mathematics -> Algebra -> Intermediate Algebra -> Other,4.5,deepmath
deepmath_4.5_9,Evaluate the integral \( \int_{-\frac{\pi}{4}}^{\frac{\pi}{4}}\frac{\sin(x) + \cos(x)}{\sin(x)}dx \).,"Topic: Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Single-variable, Difficulty: 4.5",\dfrac{\pi}{2},4.5,Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Single-variable,4.5,deepmath
deepmath_4.5_10,Find the sum of all integers \( n \) such that \( \frac{1}{4} < \sin\frac{\pi}{n} < \frac{1}{3} \).,"Topic: Mathematics -> Precalculus -> Trigonometric Functions, Difficulty: 4.5",33,4.5,Mathematics -> Precalculus -> Trigonometric Functions,4.5,deepmath
deepmath_4.5_11,Evaluate the sum: \[ \sum_{i=1}^{100} \frac{100 \cdot 99 \cdot \ldots \cdot (100-i+1)}{100^i} \cdot i \],"Topic: Mathematics -> Algebra -> Intermediate Algebra -> Other, Difficulty: 4.5",100,4.5,Mathematics -> Algebra -> Intermediate Algebra -> Other,4.5,deepmath
deepmath_4.5_12,"Find the remainder when \(3^{2015} + 11^{2014}\) is divided by 61, given that \(3^5 \equiv -1 \pmod{61}\) and \(11^2 \equiv -1 \pmod{61}\).","Topic: Mathematics -> Number Theory -> Congruences, Difficulty: 4.5",59,4.5,Mathematics -> Number Theory -> Congruences,4.5,deepmath
deepmath_4.5_13,Find the order of the element $10 + \mathbb{2017Z}$ in the cyclic group of units of $\mathbb{Z}/(\mathbb{2017Z})$. Provide your answer as a single integer.,"Topic: Mathematics -> Algebra -> Abstract Algebra -> Group Theory, Difficulty: 4.5",2016,4.5,Mathematics -> Algebra -> Abstract Algebra -> Group Theory,4.5,deepmath
deepmath_4.5_14,"Find all pairs of positive integers $(a, b)$ such that $a^2 + a + 3 = b^2$.","Topic: Mathematics -> Number Theory -> Factorization, Difficulty: 4.5","(2, 3)",4.5,Mathematics -> Number Theory -> Factorization,4.5,deepmath
deepmath_4.5_15,Determine the number of elements in the quotient ring \( \mathbb{Z}_3[x]/(x^3-1) \).,"Topic: Mathematics -> Algebra -> Abstract Algebra -> Ring Theory, Difficulty: 4.5",27,4.5,Mathematics -> Algebra -> Abstract Algebra -> Ring Theory,4.5,deepmath
deepmath_4.5_16,For what values of $k$ do the quadratics $x^2 + kx + 1$ and $kx^2 + x + 1$ share exactly one root?,"Topic: Mathematics -> Algebra -> Algebra -> Equations and Inequalities, Difficulty: 4.5",-2,4.5,Mathematics -> Algebra -> Algebra -> Equations and Inequalities,4.5,deepmath
deepmath_4.5_17,"Given that $abc = 2^6$ and $a, b, c \geq 0$, if $\log_2(a)\log_2(bc) + \log_2(b)\log_2(c) = 10$, find the value of $\sqrt{(\log_2(a))^2 + (\log_2(b))^2 + (\log_2(c))^2}$.","Topic: Mathematics -> Algebra -> Intermediate Algebra -> Logarithmic Functions, Difficulty: 4.5",4,4.5,Mathematics -> Algebra -> Intermediate Algebra -> Logarithmic Functions,4.5,deepmath
deepmath_4.5_18,Evaluate the limit: $$\lim_{x \to 0} \frac{\cos(a + 2x) - 2\cos(a + x) + \cos(a)}{x^2}.$$,"Topic: Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives, Difficulty: 4.5",-\cos a,4.5,Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives,4.5,deepmath
deepmath_4.5_19,Determine the multiplicity of the zero of the function \( f(z) = (z^2+1)^3(1+e^{\pi z})^2 \) at the point \( z = i \).,"Topic: Mathematics -> Algebra -> Intermediate Algebra -> Complex Numbers, Difficulty: 4.5",5,4.5,Mathematics -> Algebra -> Intermediate Algebra -> Complex Numbers,4.5,deepmath
deepmath_4.5_20,How many 8-digit prime palindromes exist?,"Topic: Mathematics -> Number Theory -> Prime Numbers, Difficulty: 4.5",0,4.5,Mathematics -> Number Theory -> Prime Numbers,4.5,deepmath
deepmath_4.5_21,"Let C1 and C2 be concentric circles with radii 1 and \( \frac{8}{3} \), respectively, both having their centers at (3, 0) on the Argand plane. If the complex number \( z \) satisfies the inequality \( \log_{\frac{1}{3}}{\left(\frac{|z-3|^2+2}{11|z-3|-2}\right)} > 1 \), determine which of the following statements is true: (A) \( z \) lies outside C1 but inside C2. (B) \( z \) lies inside both C1 and C2. (C) \( z \) lies outside both C1 and C2. (D) None of these.","Topic: Mathematics -> Other, Difficulty: 4.5",A,4.5,Mathematics -> Other,4.5,deepmath
deepmath_4.5_22,Find the limit of the sequence \((u_n)_{n \in \mathbb{N}}\) defined by \(u_n = \frac{1}{n!} \sum_{k=0}^{n} k!\).,"Topic: Mathematics -> Precalculus -> Limits, Difficulty: 4.5",1,4.5,Mathematics -> Precalculus -> Limits,4.5,deepmath
deepmath_4.5_23,Find the minimal polynomial over \( \mathbb{Q} \) for \( \omega = \cos\left(\frac{\pi}{6}\right) + i\sin\left(\frac{\pi}{6}\right) = \frac{\sqrt{3}}{2} + i\frac{1}{2} \).,"Topic: Mathematics -> Algebra -> Intermediate Algebra -> Complex Numbers, Difficulty: 4.5",x^4 - x^2 + 1,4.5,Mathematics -> Algebra -> Intermediate Algebra -> Complex Numbers,4.5,deepmath
deepmath_4.5_24,Evaluate the limit: $$\lim_{x\to-\infty } \left(\sqrt{e^{-2x}-e^{-x}}-\sqrt{e^{-2x}+e^{-x}}\right)$$,"Topic: Mathematics -> Precalculus -> Limits, Difficulty: 4.5",-1,4.5,Mathematics -> Precalculus -> Limits,4.5,deepmath
deepmath_4.5_25,"Determine which of the following sets correctly describes the set \( S = \{ f : \mathbb{R} \to \mathbb{R} \mid \exists \epsilon > 0 : \forall \delta > 0, |x-y| < \delta \implies |f(x)-f(y)| < \epsilon \} \):

1. \( S = \{ f : \mathbb{R} \to \mathbb{R} \mid f \text{ is continuous} \} \)
2. \( S = \{ f : \mathbb{R} \to \mathbb{R} \mid f \text{ is uniformly continuous} \} \)
3. \( S = \{ f : \mathbb{R} \to \mathbb{R} \mid f \text{ is bounded} \} \)
4. \( S = \{ f : \mathbb{R} \to \mathbb{R} \mid f \text{ is constant} \} \)","Topic: Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives, Difficulty: 4.5",3,4.5,Mathematics -> Calculus -> Differential Calculus -> Applications of Derivatives,4.5,deepmath
deepmath_4.5_26,"The sequence \(a_{1}, a_{2}, \ldots\) is defined by the equations

\[ a_{1}=100, \quad a_{n+1}=a_{n}+\frac{1}{a_{n}}, \quad n \in \mathbb{N} \]

Find the integer closest to \(a_{2013}\).","Topic: Mathematics -> Algebra -> Intermediate Algebra -> Exponential Functions, Difficulty: 4.5",118,4.5,Mathematics -> Algebra -> Intermediate Algebra -> Exponential Functions,4.5,deepmath
deepmath_4.5_27,"Find the value of \(x+y\) such that the following equation holds:

\[ \sum_{r=2}^9 \binom{r}{2} \binom{12-r}{3} = \binom{x}{y} \]","Topic: Mathematics -> Discrete Mathematics -> Combinatorics, Difficulty: 4.5",19,4.5,Mathematics -> Discrete Mathematics -> Combinatorics,4.5,deepmath
deepmath_4.5_28,"Evaluate the limit: \[ \lim_{\eta\rightarrow\infty}[(2\eta + 5)^x-(2\eta)^x + 1] \] where \(x\in (0,1)\).","Topic: Mathematics -> Precalculus -> Limits, Difficulty: 4.5",1,4.5,Mathematics -> Precalculus -> Limits,4.5,deepmath
deepmath_4.5_29,"Determine the end limit of a probability density function defined on the set of non-negative integers, \(\mathbb{N}_0\).","Topic: Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other, Difficulty: 4.5",0,4.5,Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other,4.5,deepmath
deepmath_4.5_30,"For the complete graph \(K_4\) as a strongly regular graph, determine the parameter \(\mu\). Is it possible for \(\mu\) to be 2, even though Mathworld states that \(\mu = 0\) for this graph?","Topic: Mathematics -> Discrete Mathematics -> Graph Theory, Difficulty: 4.5",0,4.5,Mathematics -> Discrete Mathematics -> Graph Theory,4.5,deepmath
deepmath_4.5_31,For what values of $k$ do the quadratics $x^2 + kx + 1$ and $kx^2 + x + 1$ share exactly one common root?,"Topic: Mathematics -> Algebra -> Algebra -> Equations and Inequalities, Difficulty: 4.5",-2,4.5,Mathematics -> Algebra -> Algebra -> Equations and Inequalities,4.5,deepmath
deepmath_4.5_32,Provide a formal epsilon-delta argument to prove that \( \lim\limits_{x\to 0} e^{-1/x^2} = 0 \).,"Topic: Mathematics -> Precalculus -> Limits, Difficulty: 4.5",0,4.5,Mathematics -> Precalculus -> Limits,4.5,deepmath
deepmath_4.5_33,"Given the vector field $\textbf{F} = (y + z)i + (x + z)j + (x + y)k$, find the potential function $f(x,y,z)$ such that $\nabla f = \textbf{F}$.","Topic: Mathematics -> Calculus -> Differential Calculus -> Derivatives, Difficulty: 4.5",xy + xz + yz,4.5,Mathematics -> Calculus -> Differential Calculus -> Derivatives,4.5,deepmath
deepmath_4.5_34,"Find the limit of the series as \( n \to \infty \):
\[ \lim_{n \to \infty} \left(\frac{1}{n+1} + \frac{1}{n+2} + \frac{1}{n+3} + \ldots + \frac{1}{2n}\right) \]","Topic: Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Single-variable, Difficulty: 4.5",\ln 2,4.5,Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Single-variable,4.5,deepmath
deepmath_4.5_35,"Consider a word of length $n$ consisting entirely of the letter 'A': $$AA\ldots A$$. You are allowed to perform $n$ actions, where each action consists of changing any letter to the next letter in the alphabet. How many distinct outcomes are possible, considering outcomes that are permutations of each other as the same?","Topic: Mathematics -> Discrete Mathematics -> Combinatorics, Difficulty: 4.5",p(n),4.5,Mathematics -> Discrete Mathematics -> Combinatorics,4.5,deepmath
deepmath_4.5_36,Simplify the expression \(x=(10+ \sqrt{108})^{1/3}-(-10+ \sqrt{108})^{1/3}\) to show that it equals \(x=2\).,"Topic: Mathematics -> Algebra -> Intermediate Algebra -> Other, Difficulty: 4.5",2,4.5,Mathematics -> Algebra -> Intermediate Algebra -> Other,4.5,deepmath
deepmath_4.5_37,Calculate the limit: \[ \lim_{n \to \infty} \prod_{k=1}^{n} \frac{(k+1)^2}{k(k+2)} \],"Topic: Mathematics -> Other, Difficulty: 4.5",2,4.5,Mathematics -> Other,4.5,deepmath
deepmath_4.5_38,Evaluate the integral \( \int_0^\infty f(x)\delta(x)dx \) using the properties of the Dirac Delta function.,"Topic: Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Single-variable, Difficulty: 4.5",f(0),4.5,Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Single-variable,4.5,deepmath
deepmath_4.5_39,"In a game with 31 stones in a single pile, two players take turns splitting any pile with more than one stone into two smaller piles. The player who leaves only piles of one stone each wins. If Kolya starts the game, can he guarantee a win regardless of Vitya's moves?","Topic: Mathematics -> Discrete Mathematics -> Combinatorics, Difficulty: 4.5",No,4.5,Mathematics -> Discrete Mathematics -> Combinatorics,4.5,deepmath
deepmath_4.5_40,"Find the greatest common divisor of the following expressions: \( x+y+z, x^2+xy+z^2, y^2+yz+z^2, z^2+zx+x^2 \).","Topic: Mathematics -> Algebra -> Intermediate Algebra -> Other, Difficulty: 4.5",1,4.5,Mathematics -> Algebra -> Intermediate Algebra -> Other,4.5,deepmath
deepmath_4.5_41,"Find the values of \( \lambda \) and \( \mu \) in \( \mathbb{Q} \) such that the greatest common divisor of the polynomials \( 2X^3-7X^2+\lambda X+3 \) and \( X^3-3X^2+ \mu X +3 \) is a polynomial of degree 2. Choose the correct pair from the following options:

(a) \( \lambda = -1, \mu = 2 \)
(b) \( \lambda = 0, \mu = 0 \)
(c) \( \lambda = 2, \mu = 0 \)
(d) \( \lambda = 2, \mu = -1 \)
(e) \( \lambda = -1, \mu = -1 \)
(f) \( \lambda = 0, \mu = 2 \)","Topic: Mathematics -> Algebra -> Algebra -> Polynomial Operations, Difficulty: 4.5",D,4.5,Mathematics -> Algebra -> Algebra -> Polynomial Operations,4.5,deepmath
deepmath_4.5_42,"Let \( x, y \in \mathbf{R} \). Denote the minimum value among \( 2^{-x}, 2^{x-y}, 2^{y-1} \) as \( P \). Given that \( 0 < x < 1 \) and \( 0 < y < 1 \), determine the maximum value of \( P \).","Topic: Mathematics -> Algebra -> Intermediate Algebra -> Exponential Functions, Difficulty: 4.5",2^{-\frac{1}{3}},4.5,Mathematics -> Algebra -> Intermediate Algebra -> Exponential Functions,4.5,deepmath
deepmath_4.5_43,Suppose 28 objects are placed around a circle at equal distances. In how many ways can you choose 3 objects from among them so that no two of the 3 chosen are adjacent nor diametrically opposite?,"Topic: Mathematics -> Discrete Mathematics -> Combinatorics, Difficulty: 4.5",2268,4.5,Mathematics -> Discrete Mathematics -> Combinatorics,4.5,deepmath
deepmath_4.5_44,Determine the radius of convergence for the series \( \sum_{n=0}^{\infty}\sin(2n)x^n \).,"Topic: Mathematics -> Calculus -> Differential Calculus -> Other, Difficulty: 4.5",1,4.5,Mathematics -> Calculus -> Differential Calculus -> Other,4.5,deepmath
deepmath_4.5_45,"Find the distribution of the random variable \( Y = X^2 \), where \( X \sim N(0,1) \).","Topic: Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other, Difficulty: 4.5",\chi^2(1),4.5,Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other,4.5,deepmath
deepmath_4.5_46,What is the maximum number of moves required to solve any solvable configuration of the 8-puzzle?,"Topic: Mathematics -> Discrete Mathematics -> Algorithms, Difficulty: 4.5",31,4.5,Mathematics -> Discrete Mathematics -> Algorithms,4.5,deepmath
deepmath_4.5_47,"Approximate the probability that within 64 days, a player experiences more than 29 ""bad days"". A ""bad day"" is defined as a day where the player wins less than 50% of the 9 games played. The probability of a ""bad day"" is \( \frac{1}{2} \). Use the Central Limit Theorem to approximate this probability.","Topic: Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Combinations, Difficulty: 4.5",0.734,4.5,Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Combinations,4.5,deepmath
deepmath_4.5_48,"On a blackboard, two three-digit numbers are multiplied together. If the multiplication sign is replaced with a 0, the resulting seven-digit number is an integer multiple of the product of the two numbers. Determine the exact factor by which the seven-digit number is a multiple of the product.","Topic: Mathematics -> Algebra -> Prealgebra -> Integers, Difficulty: 4.5",73,4.5,Mathematics -> Algebra -> Prealgebra -> Integers,4.5,deepmath
deepmath_4.5_49,"Use the Divergence Theorem to compute the net outward flux of the vector field \( F = \langle x^2, y^2, z^2 \rangle \) through the sphere \( S \) defined by \( x^2 + y^2 + z^2 = 25 \).","Topic: Mathematics -> Calculus -> Integral Calculus -> Applications of Integrals, Difficulty: 4.5",0,4.5,Mathematics -> Calculus -> Integral Calculus -> Applications of Integrals,4.5,deepmath
deepmath_4.5_50,"Compute the contraction of the 1-form $\alpha = zdy - ydz$ with the vector field $\mathbb{X} = (0, y, -z)$ on $\mathbb{R}^3$. What is the result of $i_\mathbb{X}\alpha$?","Topic: Mathematics -> Other, Difficulty: 4.5",2yz,4.5,Mathematics -> Other,4.5,deepmath
deepmath_4.5_51,Determine the values of \( k \) for which the matrix \( \begin{bmatrix}0&1&0\\0&0&1\\0&-k-7&k+8\end{bmatrix} \) is not diagonalizable over the complex numbers \( \Bbb C \).,"Topic: Mathematics -> Algebra -> Linear Algebra -> Matrices, Difficulty: 4.5","-7, -6",4.5,Mathematics -> Algebra -> Linear Algebra -> Matrices,4.5,deepmath
deepmath_4.5_52,"Given the continuous function $f(x) = 2x^5$ defined for all $x \in \mathbb{R}$, find the value of the constant $C$ that satisfies the equation $$\int_{0}^{x}f(t)dt=\int_{x}^{1}t^2f(t)dt+\frac{x^{6}}{3}+\frac{x^8}{4} + C.$$","Topic: Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Single-variable, Difficulty: 4.5",-\dfrac{1}{4},4.5,Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Single-variable,4.5,deepmath
deepmath_4.5_53,"How many distinct arrangements of the letters in the word ""MATHEMATICS"" exist if both 'T's appear before both 'A's, both 'A's appear before both 'M's, or both 'M's appear before the 'E'?","Topic: Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Combinations, Difficulty: 4.5",2835360,4.5,Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Combinations,4.5,deepmath
deepmath_4.5_54,Find the remainder when $7777^{5555}$ is divided by $191$. Use Fermat's Little Theorem to simplify the calculation.,"Topic: Mathematics -> Number Theory -> Congruences, Difficulty: 4.5",185,4.5,Mathematics -> Number Theory -> Congruences,4.5,deepmath
deepmath_4.5_55,"Calculate the limit of the sequence as \( n \to \infty \):
\[ \lim_{n\rightarrow\infty}\left( \frac{1\cdot3\cdot5\cdot\ldots\cdot(2n-1) }{ 2\cdot4\cdot6\cdot\ldots\cdot(2n)}\right)^3 \]","Topic: Mathematics -> Precalculus -> Limits, Difficulty: 4.5",0,4.5,Mathematics -> Precalculus -> Limits,4.5,deepmath
deepmath_4.5_56,"A cookie cake is divided into 4 slices. You have 20 types of sprinkles and can use none, one, two, or three types on each slice. How many unique combinations of sprinkles can you create, considering that rotations of the cake are not counted as different combinations?","Topic: Mathematics -> Discrete Mathematics -> Combinatorics, Difficulty: 4.5",832840129576,4.5,Mathematics -> Discrete Mathematics -> Combinatorics,4.5,deepmath
deepmath_4.5_57,"If $L_1L_2$ is a regular language, is $L_2L_1$ necessarily regular as well? Provide a justification for your answer.","Topic: Mathematics -> Discrete Mathematics -> Logic, Difficulty: 4.5",No,4.5,Mathematics -> Discrete Mathematics -> Logic,4.5,deepmath
deepmath_4.5_58,Solve the equation: \( \sqrt[3]{10-x} + \sqrt[3]{30-x} = \sqrt[3]{15-x} + \sqrt[3]{25-x} \). Find the value(s) of \( x \) that satisfy this equation.,"Topic: Mathematics -> Algebra -> Intermediate Algebra -> Other, Difficulty: 4.5",20,4.5,Mathematics -> Algebra -> Intermediate Algebra -> Other,4.5,deepmath
deepmath_4.5_59,"Let $a, b, c$ be three consecutive terms of both an arithmetic progression and a geometric progression, with $a \neq 0$. Find the value of the expression:
\[ \frac{a^3b + 2b^2c^2 - c^4}{a^2b^2 + b^4 - 3c^4} \]","Topic: Mathematics -> Algebra -> Algebra -> Equations and Inequalities, Difficulty: 4.5",-2,4.5,Mathematics -> Algebra -> Algebra -> Equations and Inequalities,4.5,deepmath
