id,problem,solution,difficulty,dataset
elem_0,What is 15 + 27?,Answer will be calculated,elementary,sample
elem_1,"If a box has 8 apples and you add 12 more, how many apples are there?",Answer will be calculated,elementary,sample
elem_2,What is 3/4 of 20?,Answer will be calculated,elementary,sample
elem_3,A rectangle has length 6 and width 4. What is its area?,Answer will be calculated,elementary,sample
middle_0,Solve for x: 2x + 5 = 13,Answer will be calculated,middle,sample
middle_1,Find the area of a circle with radius 5,Answer will be calculated,middle,sample
middle_2,What is sin(30°)?,Answer will be calculated,middle,sample
middle_3,"If P(A) = 0.3 and P(B) = 0.4, what is P(A and B) if A and B are independent?",Answer will be calculated,middle,sample
college_0,Find the derivative of f(x) = x^2 * sin(x),Answer will be calculated,college,sample
college_1,Calculate the integral of ∫(2x + 1)dx,Answer will be calculated,college,sample
college_2,"Find the eigenvalues of matrix [[2, 1], [1, 2]]",Answer will be calculated,college,sample
college_3,What is the limit of (x^2 - 1)/(x - 1) as x approaches 1?,Answer will be calculated,college,sample
