id,problem,solution,answer,difficulty,topic,difficulty_score,source_dataset
deepmath_-1.0_1,"Given a triangle \( \triangle ABC \) with \( \angle A = 20^\circ \), and points \( N \) and \( M \) such that \( AN = MC \) and \( NB = AM \), determine the measure of \( \angle X \).","Topic: Mathematics -> Geometry -> Plane Geometry -> Angles, Difficulty: -1.0",30^\circ,-1.0,Mathematics -> Geometry -> Plane Geometry -> Angles,-1.0,deepmath
deepmath_1.0_1,"Are all elements in the sequence 10, 44, 136, 152, 184, 752, 884, 2144, 2272, 2528, 8384, 12224, 17176, 18632, 18904, 32896, 33664, 34688, 49024, 63248, 85936 even numbers?","Topic: Mathematics -> Algebra -> Prealgebra -> Integers, Difficulty: 1.0",Yes,1.0,Mathematics -> Algebra -> Prealgebra -> Integers,1.0,deepmath
deepmath_1.5_1,"Find the expected value of a random variable \( X \) with a normal distribution \( X \sim \mathcal{N}(\mu, \sigma^2) \).","Topic: Mathematics -> Applied Mathematics -> Statistics -> Mathematical Statistics, Difficulty: 1.5",\mu,1.5,Mathematics -> Applied Mathematics -> Statistics -> Mathematical Statistics,1.5,deepmath
deepmath_2.0_1,"If two vector spaces $V$ and $W$ are isomorphic, do they necessarily have the same dimension? Provide a justification for your answer.","Topic: Mathematics -> Algebra -> Linear Algebra -> Vectors, Difficulty: 2.0",Yes,2.0,Mathematics -> Algebra -> Linear Algebra -> Vectors,2.0,deepmath
deepmath_2.5_1,"Given a normal distribution of cheese weights X with mean 10 kg and standard deviation 2 kg, determine the weight threshold h such that the probability of a cheese weighing more than h is at least 0.991. Calculate the value of h.","Topic: Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other, Difficulty: 2.5",5.27,2.5,Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other,2.5,deepmath
deepmath_3.0_0,"When three standard dice are tossed, the numbers $a,b,c$ are obtained. Find the probability that $$(a-1)(b-1)(c-1) \neq 0$$","Topic: Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Other, Difficulty: 3.0",\frac{125}{216},3.0,Mathematics -> Applied Mathematics -> Statistics -> Probability -> Counting Methods -> Other,3.0,deepmath
deepmath_3.5_0,"Given a deck of 52 cards, how many times must it be shuffled to make it ""random""? Assume a riffle shuffle is used, where the deck is cut into two stacks and interleaved. Provide your answer as a whole number of shuffles.","Topic: Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other, Difficulty: 3.5",7,3.5,Mathematics -> Applied Mathematics -> Statistics -> Probability -> Other,3.5,deepmath
deepmath_4.0_30,"Express $249_{11}+3AB_{12}$ as a base 10 integer. Here $A$ and $B$ denote the digits whose values are 10 and 11, respectively, in base 12.","Topic: Mathematics -> Algebra -> Prealgebra -> Integers, Difficulty: 4.0",858,4.0,Mathematics -> Algebra -> Prealgebra -> Integers,4.0,deepmath
deepmath_4.5_78,"Find the minimum value of the sum of distances $PA + PB$, where $P(x, y, z)$ lies on the line given by \( \frac{x+2}{2}=\frac{y+7}{2}=\frac{z-2}{1} \), and $A(5,3,4)$ and $B(1,-1,2)$ are two fixed points.","Topic: Mathematics -> Geometry -> Solid Geometry -> 3D Shapes, Difficulty: 4.5",6\sqrt{2},4.5,Mathematics -> Geometry -> Solid Geometry -> 3D Shapes,4.5,deepmath
deepmath_5.0_73,"Compute the line integral \(\int_C (y^2z^3\,dx + 2xyz^3\,dy + 3xy^2z^2\,dz)\) where \(C\) is the straight line path from \(a = (1,1,1)\) to \(b = (2,2,2)\).","Topic: Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Multi-variable, Difficulty: 5.0",63,5.0,Mathematics -> Calculus -> Integral Calculus -> Techniques of Integration -> Multi-variable,5.0,deepmath
